link,type,file,year,month,total_principal_funds
sf.citidirect.com/stfin/docs/371331/CertStmtCMLT06AMC11912.pdf,chs,CertStmtCMLT06AMC11912.pdf,19,12,496613.04
sf.citidirect.com/stfin/docs/234938/CertStmtCMLT06AMC11801.pdf,chs,CertStmtCMLT06AMC11801.pdf,18,01,678104.5
sf.citidirect.com/stfin/docs/238404/CertStmtCMLT06AMC11802.pdf,chs,CertStmtCMLT06AMC11802.pdf,18,02,1322418.51
sf.citidirect.com/stfin/docs/242232/CertStmtCMLT06AMC11803.pdf,chs,CertStmtCMLT06AMC11803.pdf,18,03,2016113.3
sf.citidirect.com/stfin/docs/247314/CertStmtCMLT06AMC11804.pdf,chs,CertStmtCMLT06AMC11804.pdf,18,04,1172311.4
sf.citidirect.com/stfin/docs/251988/CertStmtCMLT06AMC11805.pdf,chs,CertStmtCMLT06AMC11805.pdf,18,05,1438363.34
sf.citidirect.com/stfin/docs/254589/CertStmtCMLT06AMC11806.pdf,chs,CertStmtCMLT06AMC11806.pdf,18,06,2714927.06
sf.citidirect.com/stfin/docs/259587/CertStmtCMLT06AMC11807.pdf,chs,CertStmtCMLT06AMC11807.pdf,18,07,1849897.34
sf.citidirect.com/stfin/docs/263697/CertStmtCMLT06AMC11808.pdf,chs,CertStmtCMLT06AMC11808.pdf,18,08,843347.73
sf.citidirect.com/stfin/docs/268305/CertStmtCMLT06AMC11809.pdf,chs,CertStmtCMLT06AMC11809.pdf,18,09,1448819.52
sf.citidirect.com/stfin/docs/272420/CertStmtCMLT06AMC11810.pdf,chs,CertStmtCMLT06AMC11810.pdf,18,10,1385719.3
sf.citidirect.com/stfin/docs/276529/CertStmtCMLT06AMC11811.pdf,chs,CertStmtCMLT06AMC11811.pdf,18,11,1641297.99
sf.citidirect.com/stfin/docs/292450/CertStmtCMLT06AMC11812.pdf,chs,CertStmtCMLT06AMC11812.pdf,18,12,2537290.56
sf.citidirect.com/stfin/docs/194911/CertStmtCMLT06AMC11701.pdf,chs,CertStmtCMLT06AMC11701.pdf,17,01,1147923.42
sf.citidirect.com/stfin/docs/197916/CertStmtCMLT06AMC11702.pdf,chs,CertStmtCMLT06AMC11702.pdf,17,02,1900956.52
sf.citidirect.com/stfin/docs/200470/CertStmtCMLT06AMC11703.pdf,chs,CertStmtCMLT06AMC11703.pdf,17,03,1474965.18
sf.citidirect.com/stfin/docs/203120/CertStmtCMLT06AMC11704.pdf,chs,CertStmtCMLT06AMC11704.pdf,17,04,2053298.54
sf.citidirect.com/stfin/docs/206171/CertStmtCMLT06AMC11705.pdf,chs,CertStmtCMLT06AMC11705.pdf,17,05,1254163.72
sf.citidirect.com/stfin/docs/209031/CertStmtCMLT06AMC11706.pdf,chs,CertStmtCMLT06AMC11706.pdf,17,06,1177453.77
sf.citidirect.com/stfin/docs/213293/CertStmtCMLT06AMC11707.pdf,chs,CertStmtCMLT06AMC11707.pdf,17,07,1381595.31
sf.citidirect.com/stfin/docs/216475/CertStmtCMLT06AMC11708.pdf,chs,CertStmtCMLT06AMC11708.pdf,17,08,1783730.14
sf.citidirect.com/stfin/docs/219817/CertStmtCMLT06AMC11709.pdf,chs,CertStmtCMLT06AMC11709.pdf,17,09,2016274.33
sf.citidirect.com/stfin/docs/223405/CertStmtCMLT06AMC11710.pdf,chs,CertStmtCMLT06AMC11710.pdf,17,10,1568023.12
sf.citidirect.com/stfin/docs/227383/CertStmtCMLT06AMC11711.pdf,chs,CertStmtCMLT06AMC11711.pdf,17,11,774666.03
sf.citidirect.com/stfin/docs/230820/CertStmtCMLT06AMC11712.pdf,chs,CertStmtCMLT06AMC11712.pdf,17,12,2075635.96
sf.citidirect.com/stfin/docs/149705/CertStmtCMLT06AMC11601.pdf,chs,CertStmtCMLT06AMC11601.pdf,16,01,1267878.3
sf.citidirect.com/stfin/docs/151871/CertStmtCMLT06AMC11602.pdf,chs,CertStmtCMLT06AMC11602.pdf,16,02,1909077.14
sf.citidirect.com/stfin/docs/154071/CertStmtCMLT06AMC11603.pdf,chs,CertStmtCMLT06AMC11603.pdf,16,03,1086013.43
sf.citidirect.com/stfin/docs/164897/CertStmtCMLT06AMC11604.pdf,chs,CertStmtCMLT06AMC11604.pdf,16,04,1174857.21
sf.citidirect.com/stfin/docs/167117/CertStmtCMLT06AMC11605.pdf,chs,CertStmtCMLT06AMC11605.pdf,16,05,746066.56
sf.citidirect.com/stfin/docs/176389/CertStmtCMLT06AMC11606.pdf,chs,CertStmtCMLT06AMC11606.pdf,16,06,1105302.58
sf.citidirect.com/stfin/docs/178974/CertStmtCMLT06AMC11607.pdf,chs,CertStmtCMLT06AMC11607.pdf,16,07,1124014.46
sf.citidirect.com/stfin/docs/181699/CertStmtCMLT06AMC11608.pdf,chs,CertStmtCMLT06AMC11608.pdf,16,08,509155.93
sf.citidirect.com/stfin/docs/183502/CertStmtCMLT06AMC11609.pdf,chs,CertStmtCMLT06AMC11609.pdf,16,09,1197285.7
